@relation 'TT-weka.filters.unsupervised.attribute.Remove-R1-11,13-14,16-20,22-23,25-28,30-33,35-39,41-71,73-86'

@attribute f12 numeric
@attribute f15 numeric
@attribute f21 numeric
@attribute rubine_ShuZhe numeric
@attribute rubine_Gou numeric
@attribute rubine_Shu numeric
@attribute long_ShuZhe numeric
@attribute dollar_ShuZhe numeric
@attribute class {HengZheTi,ShuZhe,ShuZheZheGou,Heng,Ti,HengGou,Gou,HengZhe,ShuWanGou,HengZheWanGou,Dian,Shu,HengPie,Wan,Pie,Na}

@data
2.463759,1.793696,5.414253,0.953147,0.388546,0.658785,0.967336,0.494772,HengZhe
2.551817,1.934968,5.456189,0.927176,0.390954,0.604389,0.924638,0.574703,HengZhe
2.728341,1.540448,5.612688,0.879697,0.283803,0.534454,0.886185,0.70899,HengZhe
2.424912,1.731322,5.544932,0.920048,0.422822,0.675628,0.944863,0.481819,HengZhe
2.400342,1.530738,5.525951,1,0.302994,0.693815,1,0.465512,HengZhe
2.07076,3.956956,6.170582,0.868862,0.32401,0.662371,1,1,ShuWanGou
2.195497,3.024613,6.239632,0.920488,0.309614,0.674995,0.940538,1,ShuWanGou
2.144388,3.185556,6.412228,0.86776,0.317321,0.633831,0.951061,0.876588,ShuWanGou
2.107966,2.525389,6.250593,0.91736,0.322961,0.684277,0.924611,0.718341,ShuWanGou
2.272815,2.732937,6.036817,0.930083,0.296065,0.658826,0.934145,0.925051,ShuWanGou
2.256526,2.117709,5.992194,0.966926,0.28222,0.689771,0.949782,0.721589,ShuWanGou
2.164546,2.259121,6.28944,0.922288,0.298576,0.676659,0.92407,0.573221,ShuWanGou
2.244856,2.969512,6.064441,0.944832,0.290338,0.687466,0.931681,1,ShuWanGou
2.33321,2.442161,6.004944,0.941277,0.292049,0.657423,0.930985,1,ShuWanGou
2.145441,2.642179,6.189866,0.919696,0.303666,0.662592,0.921979,0.732931,ShuWanGou
2.142573,2.50002,6.086024,0.93398,0.388304,0.713888,0.936162,0.688508,ShuWanGou
2.203318,2.689846,6.000608,0.934039,0.298844,0.670837,0.929011,0.852174,ShuWanGou
2.359452,2.408993,5.908471,0.970309,0.295783,0.66532,0.944622,0.863074,ShuWanGou
2.092376,3.362985,6.114138,0.883441,0.330681,0.658979,0.953471,0.896153,ShuWanGou
2.170847,2.11554,6.221696,0.957942,0.294065,0.714611,0.954893,0.673114,ShuWanGou
2.24185,2.8855,6.099615,0.916497,0.281821,0.662824,0.926354,0.767397,ShuWanGou
2.074196,3.062909,6.299964,0.875981,0.355135,0.649504,0.936704,0.880677,ShuWanGou
2.197954,3.838562,6.225973,0.885081,0.318319,0.634112,1,1,ShuWanGou
2.098871,3.580398,6.213686,0.887566,0.38104,0.647173,0.982353,0.805983,ShuWanGou
2.154553,2.853084,6.092346,0.910637,0.324765,0.670557,0.931998,0.827167,ShuWanGou
2.651864,2.093715,6.063376,0.86545,0.240294,0.538411,0.834361,0.878524,HengZheWanGou
2.570879,2.015897,6.185585,0.901962,0.252345,0.571259,0.882633,0.563502,HengZheWanGou
2.534988,2.842896,6.332631,0.868646,0.270584,0.504363,0.841881,0.720055,HengZheWanGou
2.677945,1.75,6.071759,0.894014,0.221378,0.521088,0.863658,0.626347,HengZheWanGou
2.52557,2.503618,6.147686,0.87032,0.237029,0.529494,0.815784,0.864642,HengZheWanGou
2.47255,2.342275,6.006165,0.89439,0.24465,0.574087,0.843958,0.604018,HengZheWanGou
